name,error,url,gene_type,also_known_as,summary,Expression,Location
C2CD4A,error,,,,,,
"UBE2E2
",error,,,,,,
Kcnq1 potassium voltage-gated channel subfamily Q member 1 [ Rattus norvegicus (Norway rat) ],,https://www.ncbi.nlm.nih.gov/gene/84020/,protein coding,Kvlqt1,"Enables delayed rectifier potassium channel activity; identical protein binding activity; and outward rectifier potassium channel activity. Involved in several processes, including male gonad development; regulation of secretion; and response to anesthetic. Located in basolateral plasma membrane; sarcolemma; and zymogen granule membrane. Is integral component of plasma membrane. Part of voltage-gated potassium channel complex. Used to study hypertension and long QT syndrome. Human ortholog(s) of this gene implicated in heart conduction disease (multiple) and long QT syndrome (multiple). Orthologous to human KCNQ1 (potassium voltage-gated channel subfamily Q member 1). [provided by Alliance of Genome Resources, Apr 2022]","Biased expression in Heart (RPKM 171.6), Kidney (RPKM 83.6) and 5 other tissues See more",1q42
"PROX1
",error,,,,,,
"DGKB
",error,,,,,,
Adcy5 adenylate cyclase 5 [ Rattus norvegicus (Norway rat) ],,https://www.ncbi.nlm.nih.gov/gene/64532/,protein coding,Nothing,"Enables calcium- and calmodulin-responsive adenylate cyclase activity. Involved in several processes, including adenylate cyclase-activating G protein-coupled receptor signaling pathway; cAMP biosynthetic process; and response to morphine. Located in endosome; membrane raft; and plasma membrane. Colocalizes with sarcolemma. Biomarker of hypertension and type 2 diabetes mellitus. Orthologous to human ADCY5 (adenylate cyclase 5). [provided by Alliance of Genome Resources, Apr 2022]","Biased expression in Heart (RPKM 212.1), Brain (RPKM 104.2) and 9 other tissues See more",11q22
Dusp9 dual specificity phosphatase 9 [ Rattus norvegicus (Norway rat) ],,https://www.ncbi.nlm.nih.gov/gene/293847/,protein coding,Nothing,"Predicted to enable MAP kinase tyrosine/serine/threonine phosphatase activity and protein tyrosine/threonine phosphatase activity. Predicted to be involved in negative regulation of ERK1 and ERK2 cascade; positive regulation of apoptotic process; and regulation of heart growth. Predicted to be active in cytosol. Orthologous to human DUSP9 (dual specificity phosphatase 9). [provided by Alliance of Genome Resources, Apr 2022]","Biased expression in Kidney (RPKM 13.4), Testes (RPKM 6.6) and 3 other tissues See more",Xq37
Prc1 protein regulator of cytokinesis 1 [ Rattus norvegicus (Norway rat) ],,https://www.ncbi.nlm.nih.gov/gene/308761/,protein coding,Nothing,"Predicted to enable cytoskeletal protein binding activity; identical protein binding activity; and protein kinase binding activity. Predicted to be involved in mitotic spindle midzone assembly; positive regulation of cell population proliferation; and regulation of cytokinesis. Predicted to be located in several cellular components, including contractile ring; intercellular bridge; and midbody. Predicted to be active in cytoplasm and mitotic spindle midzone. Orthologous to human PRC1 (protein regulator of cytokinesis 1). [provided by Alliance of Genome Resources, Apr 2022]","Biased expression in Testes (RPKM 231.5), Thymus (RPKM 231.3) and 9 other tissues See more",1q31
Zfand6 zinc finger AN1-type containing 6 [ Rattus norvegicus (Norway rat) ],,https://www.ncbi.nlm.nih.gov/gene/293067/,protein coding,Za20d3; zgc:101121,"Predicted to enable polyubiquitin modification-dependent protein binding activity. Predicted to be involved in several processes, including cellular response to tumor necrosis factor; protein targeting to peroxisome; and regulation of I-kappaB kinase/NF-kappaB signaling. Predicted to act upstream of or within signal transduction. Predicted to be located in cytoplasm. Orthologous to human ZFAND6 (zinc finger AN1-type containing 6). [provided by Alliance of Genome Resources, Apr 2022]","Biased expression in Thymus (RPKM 182.5), Spleen (RPKM 176.0) and 9 other tissues See more",1q31
Hnf1a HNF1 homeobox A [ Rattus norvegicus (Norway rat) ],,https://www.ncbi.nlm.nih.gov/gene/24817/,protein coding,HNF1; Lfb1; Tcf1; LF-B1,"Enables DNA binding activity; DNA-binding transcription activator activity, RNA polymerase II-specific; and transcription coactivator binding activity. Involved in negative regulation of transcription by RNA polymerase II; positive regulation of transcription by RNA polymerase II; and transcription by RNA polymerase II. Acts upstream of or within positive regulation of transcription, DNA-templated. Located in chromatin and nucleus. Part of protein-containing complex. Used to study hepatocellular adenoma and hepatocellular carcinoma. Biomarker of extrahepatic cholestasis and kidney disease. Human ortholog(s) of this gene implicated in glucose metabolism disease (multiple); liver disease (multiple); and renal cell carcinoma. Orthologous to human HNF1A (HNF1 homeobox A). [provided by Alliance of Genome Resources, Apr 2022]","Biased expression in Kidney (RPKM 154.8), Liver (RPKM 66.8) and 1 other tissue See more",12q16
Hmga2 high mobility group AT-hook 2 [ Rattus norvegicus (Norway rat) ],,https://www.ncbi.nlm.nih.gov/gene/84017/,protein coding,Hmgic,"Enables enzyme binding activity. Involved in negative regulation of signal transduction; regulation of transcription, DNA-templated; and signal transduction. Located in nucleus. Human ortholog(s) of this gene implicated in Silver-Russell syndrome; leiomyoma; lipoma; and ovarian cancer. Orthologous to human HMGA2 (high mobility group AT-hook 2). [provided by Alliance of Genome Resources, Apr 2022]","Biased expression in Thymus (RPKM 18.6), Adrenal (RPKM 6.0) and 2 other tissues See more",7q22
"CENTD2
",error,,,,,,
Chchd2l2 coiled-coil-helix-coiled-coil-helix domain containing protein 2-like 2 [ Rattus norvegicus (Norway rat) ],,https://www.ncbi.nlm.nih.gov/gene/288622/,protein coding,Nothing,Zbed5; Scand3; RGD1559988,"Orthologous to human ZBED5 (zinc finger BED-type containing 5). [provided by Alliance of Genome Resources, Apr 2022]",12q13
"TP531NP1
",error,,,,,,
Klf14 Kruppel-like factor 14 [ Rattus norvegicus (Norway rat) ],,https://www.ncbi.nlm.nih.gov/gene/312203/,protein coding,Nothing,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding activity; and chromatin binding activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Predicted to act upstream of or within positive regulation of sphingolipid mediated signaling pathway and positive regulation of transcription by RNA polymerase II. Orthologous to human KLF14 (Kruppel like factor 14). [provided by Alliance of Genome Resources, Apr 2022]","
human
mouse
all
",4q22
"Zbed3 zinc finger, BED-type containing 3 [ Rattus norvegicus (Norway rat) ]",,https://www.ncbi.nlm.nih.gov/gene/361881/,protein coding,Nothing,"Predicted to be involved in several processes, including cytoskeleton organization; endoplasmic reticulum localization; and positive regulation of embryonic development. Predicted to act upstream of or within negative regulation of protein phosphorylation; positive regulation of canonical Wnt signaling pathway; and protein stabilization. Predicted to be located in cytosol; extracellular space; and membrane. Orthologous to several human genes including ZBED3 (zinc finger BED-type containing 3). [provided by Alliance of Genome Resources, Apr 2022]","Biased expression in Kidney (RPKM 71.7), Uterus (RPKM 50.3) and 9 other tissues See more",2q12
Bcl11a BAF chromatin remodeling complex subunit BCL11A [ Rattus norvegicus (Norway rat) ],,https://www.ncbi.nlm.nih.gov/gene/305589/,protein coding,Nothing,"Enables protein kinase binding activity. Involved in several processes, including cellular response to L-glutamate; negative regulation of branching morphogenesis of a nerve; and negative regulation of dendrite development. Located in cytoplasm; nucleus; and postsynaptic density. Human ortholog(s) of this gene implicated in autism spectrum disorder; beta thalassemia; schizophrenia; and sickle cell anemia. Orthologous to human BCL11A (BAF chromatin remodeling complex subunit BCL11A). [provided by Alliance of Genome Resources, Apr 2022]","Biased expression in Spleen (RPKM 70.7), Brain (RPKM 24.9) and 5 other tissues See more",14q22
Irs1 insulin receptor substrate 1 [ Rattus norvegicus (Norway rat) ],,https://www.ncbi.nlm.nih.gov/gene/25467/,protein coding,IRS1IRM,"Enables several functions, including SH2 domain binding activity; protein kinase binding activity; and signaling receptor binding activity. Involved in several processes, including cellular response to peptide hormone stimulus; regulation of insulin receptor signaling pathway; and regulation of peptide hormone secretion. Located in cytosol; intracellular membrane-bounded organelle; and plasma membrane. Part of insulin receptor complex. Used to study end stage renal disease; obesity; and type 2 diabetes mellitus. Biomarker of Alzheimer's disease; non-alcoholic fatty liver disease; and osteoporosis. Human ortholog(s) of this gene implicated in Alzheimer's disease; coronary artery disease; and type 2 diabetes mellitus. Orthologous to human IRS1 (insulin receptor substrate 1). [provided by Alliance of Genome Resources, Apr 2022]","Biased expression in Muscle (RPKM 289.3), Heart (RPKM 135.2) and 9 other tissues See more",9q34
Gck glucokinase [ Rattus norvegicus (Norway rat) ],,https://www.ncbi.nlm.nih.gov/gene/24385/,protein coding,GLK; GLUKA; RNGK2,"Enables several functions, including adenyl ribonucleotide binding activity; glucose binding activity; and hexokinase activity. Involved in several processes, including cellular chemical homeostasis; cellular response to hormone stimulus; and hexose metabolic process. Located in several cellular components, including basal cortex; nucleoplasm; and secretory granule. Colocalizes with actin filament. Used to study fatty liver disease; obesity; and type 2 diabetes mellitus. Human ortholog(s) of this gene implicated in artery disease (multiple); familial hyperinsulinemic hypoglycemia 3; and glucose metabolism disease (multiple). Orthologous to human GCK (glucokinase). [provided by Alliance of Genome Resources, Apr 2022]",Biased expression in Liver (RPKM 79.4) and Heart (RPKM 6.0)  See more,14q21
Gckr glucokinase regulator [ Rattus norvegicus (Norway rat) ],,https://www.ncbi.nlm.nih.gov/gene/25658/,protein coding,GLRE,"Enables several functions, including carbohydrate binding activity; enzyme binding activity; and enzyme inhibitor activity. Involved in negative regulation of glucokinase activity; protein import into nucleus; and response to fructose. Located in cytosol; mitochondrion; and nucleoplasm. Human ortholog(s) of this gene implicated in end stage renal disease and type 2 diabetes mellitus. Orthologous to human GCKR (glucokinase regulator). [provided by Alliance of Genome Resources, Apr 2022]",Restricted expression toward  (RPKM 878.5) See more,6q14
Mtnr1b melatonin receptor 1B [ Rattus norvegicus (Norway rat) ],,https://www.ncbi.nlm.nih.gov/gene/192646/,protein coding,Mt2; Mel1b-r,"Predicted to enable G protein-coupled receptor activity. Involved in several processes, including negative regulation of cGMP-mediated signaling; negative regulation of transport; and regulation of transmission of nerve impulse. Predicted to be integral component of membrane. Predicted to be active in plasma membrane. Used to study acute pancreatitis. Human ortholog(s) of this gene implicated in type 2 diabetes mellitus. Orthologous to human MTNR1B (melatonin receptor 1B). [provided by Alliance of Genome Resources, Apr 2022]",Low expression observed in reference dataset See more,8q12
G6pc2 glucose-6-phosphatase catalytic subunit 2 [ Rattus norvegicus (Norway rat) ],,https://www.ncbi.nlm.nih.gov/gene/681817/,protein coding,Igrp; G6pc-rs,"Predicted to enable glucose-6-phosphatase activity. Predicted to be involved in glucose homeostasis and regulation of insulin secretion. Predicted to be located in endoplasmic reticulum. Orthologous to human G6PC2 (glucose-6-phosphatase catalytic subunit 2). [provided by Alliance of Genome Resources, Apr 2022]",Restricted expression toward  (RPKM 3.0) See more,3q21
Notch2 notch receptor 2 [ Rattus norvegicus (Norway rat) ],,https://www.ncbi.nlm.nih.gov/gene/29492/,protein coding,Nothing,"Predicted to enable NF-kappaB binding activity and enzyme binding activity. Involved in cell fate determination; tissue regeneration; and wound healing. Predicted to be located in several cellular components, including cell surface; cilium; and nucleoplasm. Predicted to be integral component of plasma membrane. Predicted to be part of receptor complex. Predicted to be active in extracellular matrix. Human ortholog(s) of this gene implicated in Alagille syndrome and Hajdu-Cheney syndrome. Orthologous to human NOTCH2 (notch receptor 2). [provided by Alliance of Genome Resources, Apr 2022]","Biased expression in Spleen (RPKM 260.8), Lung (RPKM 187.7) and 9 other tissues See more",2q34
