name,year,url,journal,abstract
[Physiopathology of diabetes insipidus],1950,https://pubmed.ncbi.nlm.nih.gov/14776069/,Pol Tyg Lek (Wars),No abstract available
Diabetes insipidus,1954,https://pubmed.ncbi.nlm.nih.gov/13190514/,Can Serv Med J,No abstract available
DIDMOAD syndrome in a Libyan family,1986,https://pubmed.ncbi.nlm.nih.gov/2428293/,Ann Trop Paediatr,"We report three Libyan children from one family with the syndrome diabetes insipidus, diabetes mellitus, optic atrophy and deafness, (DIDMOAD). Two children presented with diabetic ketoacidosis while one was discovered during screening of the family. All three children are alive, two of them on desmopressin (DDAVP) and insulin therapy and one on DDAVP only."
Low arginine vasopressin levels in patients with diabetes insipidus are not associated with anaemia,2020,https://pubmed.ncbi.nlm.nih.gov/32534481/,Clin Endocrinol (Oxf),"Objective: Arginine vasopressin (AVP) is released upon osmotic stimulation or hypovolaemia in order to maintain water balance. A recent study showed a role of AVP in haematopoiesis by stimulating red blood cell precursors, suggesting a higher risk of anaemia in patients with AVP deficiency. The objective was to explore the effect of low AVP levels in patients with central diabetes insipidus (cDI) and primary polydipsia (PP) on haemoglobin and the prevalence of anaemia.
Methods: A total of 164 patients with either cDI (70, 43%) or PP (94, 57%) and 30 healthy volunteers from two prospective diagnostic studies performed in Switzerland, Germany and Brazil were studied. A standardized clinical and biochemical (eg copeptin, full blood count) assessment was performed. Haemoglobin and haematocrit levels and prevalence of anaemia (defined as haemoglobin values of <120 g/L in women and <130 g/L in men) were analysed.
Results: Mean copeptin values were 2.63 pmol/L (±1.08) and 3.91 pmol/L (±4.28) in patients with cDI and PP and 24.76 pmol/L (±5.75) in healthy volunteers, P = .02. The prevalence of anaemia was low in all participants with 7.1%, 2.2% and 10% in cDI, PP and in healthy volunteers, P = .15. Mean haemoglobin values were similar in all groups: 139 g/L (±15.85), 140 g/L (±13.16) and 139 g/L (±13.05) in patients with cDI, PP and healthy volunteers, P = .90, as were mean haematocrit values with 41% in all groups (P = .85).
Conclusion: Chronic low AVP levels in patients with cDI and PP do not affect haemoglobin levels and prevalence of anaemia."
Disorders of water metabolism,1982,https://pubmed.ncbi.nlm.nih.gov/6983760/,Vet Clin North Am Small Anim Pract,No abstract available
Simplifying the diagnosis of diabetes insipidus in children,1981,https://pubmed.ncbi.nlm.nih.gov/7282662/,Am J Dis Child,"We simplified the procedures for identifying children with diabetes insipidus by using the relationship between urine and plasma osmolality (Uosm and Posm). We defined the normal Uosm-Posm relationship as the area within the 95% confidence regions for pairs of osmolality measurements obtained from normal children during periods of free access to fluids and after oral hydration. In 13 patients with diabetes insipidus, Uosm-Posm coordinates were outside these regions in 50 of 64 pairs (one to ten per patient) during periods of free access to fluids. After three hours of fluid deprivation, the Uosm-Posm relationship was abnormal in 12 patients; the 13th was unable to void. For those with a normal Posm, and Uosm less than Posm, another pair of osmolality measurements after three hours of fluid restriction should determine the diagnosis."
"Diabetes insipidus, obsessional neurosis and ? hypothalamic dysfunction",1954,https://pubmed.ncbi.nlm.nih.gov/13155534/,Proc R Soc Med,No abstract available
[The familial hereditary form of diabetes insipidus],1986,https://pubmed.ncbi.nlm.nih.gov/3713122/,Klin Med (Mosk),No abstract available
Massive dilation of the urinary tract secondary to familial cranial diabetes insipidus,Oct-Nov,https://pubmed.ncbi.nlm.nih.gov/9973759/,Ir Med J,No abstract available
[A case of diabetes insipidus during Hodgkin's disease],1960,https://pubmed.ncbi.nlm.nih.gov/13884736/,Bull Mens Soc Med Mil Fr,No abstract available
